ProjectID,ProjectPI,OutputVenue,OutputTitle,OutputVolume,ProjectTitle,ProjectEndYear,OutputType,OutputStatus,Affiliation,DOI,OutputMonth,OutputBiblio,ProjectYearStarted,OutputYear,ProjectRDC,ProjectStartYear,ProjID,ProjectStatus,PredictedTopic,OutputNumber,ProjectYearEnded,OutputPages,Keywords
1071.0,Scott H Holan,Annals of Applied Statistics,Computationally Efficient Bayesian Unit-Level Models for Non-Gaussian Data Under Informative Sampling with Application to Estimation of Health Insurance Coverage,,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN,,JA,PB,,10.3386/w14250,June,"Paul A. Parker, Scott H. Holan, and Ryan Janicki. 2021. ""Computationally Efficient Bayesian Unit-Level Models for Non-Gaussian Data Under Informative Sampling with Application to Estimation of Health Insurance Coverage.""  Annals of Applied Statistics. 16(2): 887-904 (June 2022). DOI: 10.1214/21-AOAS1524",,2022.0,Missouri,2015.0,,Active,economics,,,,"insurance coverage, informative sampling, efficient bayesian, bayesian unit, gaussian data"
1071.0,Scott H Holan,Journal of Survey Statistics and Methodology,Comparison of Unit Level Small Area Estimation Modeling Approaches for Survey Data Under Informative Sampling,11,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN,,JA,PB,,10.3386/w14250,September,"Parker, P.A., Janicki, R., and Holan, S.H. (2023) Comparison of Unit Level Small Area Estimation Modeling Approaches for Survey Data Under Informative Sampling. Journal of Survey Statistics and Methodology, 11(4): 858{872.",,2023.0,Missouri,2015.0,,Active,economics,4,,858-872,"survey data, informative sampling, area estimation, sampling, small area"
1071.0,Scott H Holan,arXiv,Unit Level Modeling of Survey Data for Small Area Estimation Under Informative Sampling: A Comprehensive Overview with Extensions,,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN,,WP,PB,,10.3386/w14250,,"Paul A. Parker, Ryan Janicki, and Scott H. Holan. 2019. ""Unit Level Modeling of Survey Data for Small Area Estimation Under Informative Sampling: A Comprehensive Overview with Extensions."" arXiv preprint arXiv:1908.10488. https://arxiv.org/pdf/1908.10488",,2019.0,Missouri,2015.0,,Active,economics,1908.10488,,,"survey data, modeling survey, informative sampling, sampling comprehensive, sampling"
1071.0,Scott H Holan,Journal of Survey Statistics and Methodology,A Comprehensive Overview of Unit Level Modeling of Survey Data for Small Area Estimation Under Informative Sampling,11,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN,,JA,PB,,10.3386/w14250,September,"Parker, P.A., Janicki, R., and Holan, S.H. (2023) A Comprehensive Overview of Unit Level Modeling of Survey Data for Small Area Estimation Under Informative Sampling. Journal of Survey Statistics and Methodology, 11(4): 829{857.",,2023.0,Missouri,2015.0,,Active,economics,4,,829-857,"modeling survey, survey data, informative sampling, area estimation, estimation informative"
1075.0,Purvi Sevak,Journal of Disability Policy Studies,Individual Characteristics and the Disability Employment Gap,26,Individual and Environmental Characteristics and Employment Outcomes for People with Disabilities,2016.0,JA,PB,,10.3386/w14250,,"Sevak, Purvi, Andrew J. Houtenville, Debra L. Brucker, and John O'Neill. 2015. “Individual Characteristics and the Disability Employment Gap.” Journal of Disability Policy Studies 26: 80-88. [RDC] ",,2015.0,Baruch,2013.0,,Completed,economics,,,80-88,"disability employment, characteristics disability, employment gap, disability, employment"
1075.0,Purvi Sevak,Journal of Disability Policy Studies,State and Local Determinants of Employment Outcomes Among Individuals With Disabilities,29,Individual and Environmental Characteristics and Employment Outcomes for People with Disabilities,2016.0,JA,PB,,10.3386/w14250,,"Sevak, Purvi, John O'Neill, Andrew Houtenville, and Debra Brucker, “State and Local Determinants of Employment Outcomes Among Individuals With Disabilities,” Journal of Disability Policy Studies, 2018, 29:119-128. [RDC]",,2018.0,Baruch,2013.0,,Completed,economics,,,119-128,"individuals disabilities, disabilities, employment outcomes, determinants employment, employment"
1075.0,Purvi Sevak,Center for Economic Studies,State and Local Determinants of Employment Outcomes among Individuals with Disabilities,,Individual and Environmental Characteristics and Employment Outcomes for People with Disabilities,2016.0,WP,PB,,10.3386/w14250,,"Sevak, Purvi, John O'Neill, Andrew Houtenville, and Debra L. Brucker. 2016. “State and Local Determinants of Employment Outcomes among Individuals with Disabilities.” Center for Economic Studies Discussion Paper 16-21. [RDC]",,2016.0,Baruch,2013.0,,Completed,economics, 16-21,,,"individuals disabilities, disabilities, employment outcomes, determinants employment, employment"
1079.0,Sara N Gleave,University of North Carolina at Charlotte,The Best Deal in Town? Associations between Public Housing and Labor Market Inequality in the New Orleans-Metairie-Kenner MSA,,Associations between Public Housing and Labor Market Outcomes,2016.0,DI,PB,,10.3386/w14250,,"Gleave, Sara. 2014. “The Best Deal in Town? Associations between Public Housing and Labor Market Inequality in the New Orleans-Metairie-Kenner MSA.” Ph.D. dissertation, University of North Carolina at Charlotte. [RDC]",,2014.0,Texas,2013.0,,Completed,economics,,,,"housing labor, public housing, new orleans, orleans, orleans metairie"
1079.0,Sara N Gleave,Center for Economic Studies,Associations between Public Housing and Individual Earnings in New Orleans,,Associations between Public Housing and Labor Market Outcomes,2016.0,WP,PB,,10.3386/w14250,,"Gleave, Sara. 2015. “Associations between Public Housing and Individual Earnings in New Orleans.” Center for Economic Studies Discussion Paper 15-32. [RDC]",,2015.0,Texas,2013.0,,Completed,economics, 15-32,,,"public housing, housing individual, new orleans, housing, orleans"
1085.0,Ian M Schmutte,CES Technical Notes Series,A Comparison of Firm Age in the Survey of Business Owners and the Longitudinal Business Database,,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas,2022.0,TN,PB,,10.3386/w14250,,"Lastrapes, William, Ian Schmutte, Thor Watson. 2020. “A Comparison of Firm Age in the Survey of Business Owners and the Longitudinal Business Database.” CES Technical Notes Series 20-08, Center for Economic Studies, U.S. Census Bureau. ",,2020.0,Atlanta,2014.0,,Completed,economics,20-08,,,"firm age, longitudinal business, owners longitudinal, age survey, business owners"
1085.0,Ian M Schmutte,Center for Economic Studies,"Home Equity Lending, Credit Constraints and Small Business in the US.",,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas,2022.0,WP,PB,,10.3386/w14250,,"Lastrapes, William, Ian Schmutte, Thor Watson. 2020. “Home Equity Lending, Credit Constraints and Small Business in the US.” Working Papers 20-32, Center for Economics Studies, U.S. Census Bureau.",,2020.0,Atlanta,2014.0,,Completed,economics,20-32,,,"equity lending, lending, home equity, lending credit, credit constraints"
1085.0,Ian M Schmutte,Economic Inquiry,"Home Equity Lending, Credit Constraints and Small Business in the US.",60,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas,2022.0,JA,PB,,10.3386/w14250,January,"Lastrapes, William, Ian Schmutte, Thor Watson. 2022. “Home Equity Lending, Credit Constraints and Small Business in the US.” Economic Inquiry. 60(1):43-63.",,2022.0,Atlanta,2014.0,,Completed,economics,1,,43-63,"equity lending, lending, home equity, lending credit, credit constraints"
1091.0,Jie He,,Workplace Inequality in Pay Growth: A First Look,,Employee Risk Tolerance and Corporate Decisions,,MI,UP,,10.3386/w14250,,"He, Jie (Jack), Lei Li, and Tao Shu, 2021. ""Workplace Inequality in Pay Growth: Evidence from Pay Growth."" Mimeo.",,2021.0,Atlanta,2014.0,,Active,economics,,,,"workplace inequality, inequality pay, pay growth, workplace, inequality"
1091.0,Jie He,,Venture Labor: A Nonfinancial Signal for Start-up Success,,Employee Risk Tolerance and Corporate Decisions,,MI,UP,,10.3386/w14250,,"Cao, Sean, Jie (Jack) He, Luna Lin, and Xiao (Shaun) Ren. 2022. “Venture Labor: A Nonfinancial Signal for Start-up Success,” Mimeo.",,2022.0,Atlanta,2014.0,,Active,economics,,,,"venture labor, venture, labor nonfinancial, start success, labor"
1091.0,Jie He,Center for Economic Studies,The Disappearing IPO Puzzle: New Insights from Proprietary U.S. Census Data on Private Firms,,Employee Risk Tolerance and Corporate Decisions,,WP,PB,,10.3386/w14250,,"Chemmanur, Thomas, Jie (Jack) He, Xiao (Shaun) Ren, and Tao Shu, 2020. ""The Disappearing IPO Puzzle: New Insights from Proprietary U.S. Census Data on Private Firms,"" Working Paper 20-20, Center for Economic Studies, U.S. Census Bureau.",,2020.0,Atlanta,2014.0,,Active,economics,20-20,,,"proprietary census, private firms, ipo puzzle, disappearing ipo, ipo"
1091.0,Jie He,,Workplace Inequality in the U.S. and Managerial Entrenchment: Evidence from Pay Growth,,Employee Risk Tolerance and Corporate Decisions,,MI,UP,,10.3386/w14250,,"He, Jie (Jack), Lei Li, and Tao Shu, 2022. ""Workplace Inequality in the U.S. and Managerial Entrenchment: Evidence from Pay Growth."" Mimeo.",,2022.0,Atlanta,2014.0,,Active,economics,,,,"workplace inequality, pay growth, inequality managerial, managerial entrenchment, workplace"
1091.0,Jie He,Center for Economic Studies,The Employee Clientele of Corporate Leverage: Evidence from Personal Labor Income Diversification,,Employee Risk Tolerance and Corporate Decisions,,WP,PB,,10.3386/w14250,,"He, Jie (Jack), Tao Shu, and Huan Yang, “The Employee Clientele of Corporate Leverage: Evidence from Personal Labor Income Diversification,” Center for Economic Studies Discussion Paper 18-01, 2018.",,2018.0,Atlanta,2014.0,,Active,economics,18-01,,,"corporate leverage, leverage, leverage evidence, employee clientele, clientele corporate"
1091.0,Jie He,,Diffusers of Entrepreneurship,,Employee Risk Tolerance and Corporate Decisions,,MI,UP,,10.3386/w14250,,"Cao, Sean, Jie (Jack) He, Luna Lin, and Xiao (Shaun) Ren. 2021. “Diffusers of Entrepreneurship,” Mimeo.",,2021.0,Atlanta,2014.0,,Active,economics,,,,"diffusers entrepreneurship, entrepreneurship, diffusers"
1091.0,Jie He,University of Georgia,Three Essays in Corporate Finance,,Employee Risk Tolerance and Corporate Decisions,,DI,PB,,10.3386/w14250,,"Xiao (Shaun) Ren, ""Three Essays in Corporate Finance"", Ph.D. dissertation completed.",,2021.0,Atlanta,2014.0,,Active,economics,,,,"corporate finance, essays corporate, finance, essays, corporate"
1101.0,Robert C Seamans,The Journal of Law and Economics,Debtor Protection and Business Dynamism,62,Personal Bankruptcy Law and Entrepreneurship,2017.0,JA,PB,,10.3386/w14250,August,"Cerqueiro, Geraldo, María Fabiana Penas, and Robert Seamans. 2019. Debtor Protection and Business Dynamism. The Journal of Law and Economics. 62(3) August.",,2019.0,Baruch,2014.0,,Completed,economics,3,,,"debtor protection, business dynamism, debtor, protection business, dynamism"
1101.0,Robert C Seamans,Center for Economic Studies,Personal Bankruptcy Law and Entrepreneurship,,Personal Bankruptcy Law and Entrepreneurship,2017.0,WP,PB,,10.3386/w14250,,"Cerqueiro, Geraldo, María Fabiana Penas, and Robert Seamans. 2017. “Personal Bankruptcy Law and Entrepreneurship.” Center for Economic Studies Discussion Paper 17-42. [RDC]",,2017.0,Baruch,2014.0,,Completed,economics, 17-42,,,"personal bankruptcy, bankruptcy law, bankruptcy, law entrepreneurship, entrepreneurship"
1105.0,William R Walker,NBER,"Why is Pollution from U.S. Manufacturing Declining? The Roles of Environmental Regulation, Productivity, and Trade",,Labor Market Implications of External Shocks,2017.0,WP,PB,,10.3386/w14250,,"Joseph S. Shapiro & Reed Walker, 2015. ""Why is Pollution from U.S. Manufacturing Declining? The Roles of Environmental Regulation, Productivity, and Trade,"" NBER Working Papers 20879, National Bureau of Economic Research, Inc.",,2015.0,Berkeley,2013.0,,Completed,economics,20879,,,"pollution manufacturing, manufacturing declining, pollution, environmental regulation, regulation productivity"
1105.0,William R Walker,Center for Economic Studies,"Why is Pollution from U.S. Manufacturing Declining? The Roles of Environmental Regulation, Productivity, and Trade",,Labor Market Implications of External Shocks,2017.0,WP,PB,,10.3386/w14250,,"Joseph S. Shapiro & Reed Walker, 2015. ""Why is Pollution from U.S. Manufacturing Declining? The Roles of Environmental Regulation, Productivity, and Trade,"" Working Papers 15-03, Center for Economic Studies, U.S. Census Bureau.",,2015.0,Berkeley,2013.0,,Completed,economics,15-03,,,"pollution manufacturing, manufacturing declining, pollution, environmental regulation, regulation productivity"
1105.0,William R Walker,Cowles Foundation,"Why is Pollution from U.S. Manufacturing Declining? The Roles of Environmental Regulation, Productivity, and Trade",,Labor Market Implications of External Shocks,2017.0,WP,PB,,10.3386/w14250,,"Joseph S. Shapiro & Reed Walker, 2015. ""Why is Pollution from U.S. Manufacturing Declining"" The Roles of Environmental Regulation, Productivity, and Trade,"" Cowles Foundation Discussion Papers 1982R3, Cowles Foundation for Research in Economics, Yale University, revised Apr 2018.",,2018.0,Berkeley,2013.0,,Completed,economics,1982R3,,,"pollution manufacturing, manufacturing declining, pollution, environmental regulation, regulation productivity"
1109.0,James R Tybout,,Two-sided Search in International Markets,,International Buyer-Seller Matches,,MI,UP,,10.3386/w14250,,"Tybout, James, David Jinkins, Daniel Yi Xu, Jonathan Eaton, 2021 (revised draft). ""Two-sided Search in International Markets."" Mimeo. ",,2021.0,Penn State,2014.0,,Active,economics,,,,"international markets, sided search, markets, search international, search"
1109.0,James R Tybout,NBER,A Search and Learning Model of Export Dynamics,,International Buyer-Seller Matches,,WP,PB,,10.3386/w14250,July,"Eslava, Marcela , James Tybout, David Jinkins, C. Krizan, and Jonathan Eaton, 2021 (revised draft). ""A Search and Learning Model of Export Dynamics,"" NBER Working Paper 29100 ",,2021.0,Penn State,2014.0,,Active,economics,29100,,,"export dynamics, export, model export, search learning, learning model"
1109.0,James R Tybout,Center for Economic Studies,Are Customs Records Consistent Across Countries? Evidence from the U.S. and Colombia,,International Buyer-Seller Matches,,WP,PB,,10.3386/w14250,,"Krizan, C.J., James Tybout, Zi Wang, Yingyan Zhao, 2020. ""Are Customs Records Consistent Across Countries? Evidence from the U.S. and Colombia,"" Working Papers 20-11, Center for Economic Studies, U.S. Census Bureau.",,2020.0,Penn State,2014.0,,Active,economics,20-11,,,"customs records, evidence colombia, customs, colombia, countries evidence"
